first,second
9.6824,1332.00
9.6968,1427.00
9.7112,1489.50
9.7256,1616.00
9.7400,1583.00
9.7544,1753.86
9.7688,1882.79
9.7832,1960.56
9.7977,2207.16
9.8121,2426.14
9.8265,2724.93
9.8409,3230.42
9.8553,3863.00
9.8697,4766.00
9.8841,6053.00
9.8985,7126.00
9.9129,8080.00
9.9273,8050.00
9.9417,7413.00
9.9561,6114.98
9.9705,4939.26
9.9849,3686.79
9.9994,3020.65
10.0138,2355.53
10.0282,1926.79
10.0426,1589.12
10.0570,1351.00
10.0714,1224.00
10.0858,1158.00
10.1002,1062.00
10.1146,1094.00
10.1290,1062.50
10.1434,1059.00
10.1578,1065.21
10.1722,1013.53
10.1867,1073.91
10.2011,1084.65
10.2155,1081.58
10.2299,1060.09
10.2443,960.84
10.2587,1096.00
10.2731,981.00
10.2875,1033.00
10.3019,1040.00
10.3163,1017.00
10.3307,1033.00
10.3451,998.00
10.3595,972.09
10.3739,1060.09
10.3884,1076.47
10.4028,970.05
10.4172,977.21
10.4316,1007.91
10.4460,1005.86
10.4604,991.00
10.4748,969.00
10.4892,986.00
10.5036,987.00
10.5180,993.00
10.5324,975.00
10.5468,1005.50
10.5612,1058.05
10.5756,909.67
10.5901,985.40
10.6045,987.44
10.6189,980.28
10.6333,988.98
10.6477,1014.05
10.6621,999.00
10.6765,1010.50
10.6909,1018.00
10.7053,974.00
10.7197,987.50
10.7341,1001.00
10.7485,1016.00
10.7629,1009.95
10.7774,977.21
10.7918,1006.88
10.8062,1000.74
10.8206,909.67
10.8350,1017.12
10.8494,1041.67
10.8638,961.00
10.8782,986.00
10.8926,992.00
10.9070,1001.00
10.9214,958.00
10.9358,1012.00
10.9502,922.98
10.9646,954.70
10.9791,972.09
10.9935,968.00
11.0079,982.33
11.0223,1015.58
11.0367,1022.23
11.0511,990.50
11.0655,927.00
11.0799,991.00
11.0943,981.00
11.1087,948.50
11.1231,995.00
11.1375,981.00
11.1519,1025.30
11.1664,978.23
11.1808,958.28
11.1952,983.86
11.2096,1025.30
11.2240,953.67
11.2384,1002.79
11.2528,1024.00
11.2672,987.00
11.2816,997.00
11.2960,994.00
11.3104,1025.00
11.3248,975.00
11.3392,963.00
11.3536,963.91
11.3681,988.47
11.3825,1002.79
11.3969,962.88
11.4113,986.93
11.4257,995.63
11.4401,1005.86
11.4545,940.00
11.4689,953.00
11.4833,922.00
11.4977,1017.00
11.5121,1010.00
11.5265,1035.00
11.5409,982.00
11.5553,977.21
11.5698,930.65
11.5842,985.40
11.5986,954.70
11.6130,964.93
11.6274,986.42
11.6418,916.84
11.6562,933.50
11.6706,956.00
11.6850,995.00
11.6994,1006.00
11.7138,1010.00
11.7282,946.00
11.7426,977.00
11.7571,951.63
11.7715,971.07
11.7859,941.40
11.8003,944.47
11.8147,948.56
11.8291,974.14
11.8435,996.65
11.8579,972.00
11.8723,990.00
11.8867,961.00
11.9011,975.00
11.9155,972.00
11.9299,954.00
11.9443,948.00
11.9588,932.19
11.9732,934.23
11.9876,985.40
12.0020,959.81
12.0164,932.19
12.0308,1013.53
12.0452,971.07
12.0596,959.00
12.0740,960.00
12.0884,936.00
12.1028,905.00
12.1172,1026.50
12.1316,984.00
12.1461,948.00
12.1605,899.44
12.1749,973.12
12.1893,955.21
12.2037,986.42
12.2181,942.42
12.2325,945.49
12.2469,976.19
12.2613,970.00
12.2757,965.00
12.2901,1029.00
12.3045,956.00
12.3189,1000.00
12.3333,997.00
12.3478,986.00
12.3622,932.19
12.3766,1014.05
12.3910,941.40
12.4054,890.23
12.4198,939.35
12.4342,955.72
12.4486,984.37
12.4630,1004.00
12.4774,985.00
12.4918,975.00
12.5062,960.50
12.5206,971.00
12.5351,941.00
12.5495,901.49
12.5639,931.16
12.5783,935.26
12.5927,962.88
12.6071,1000.74
12.6215,943.44
12.6359,940.37
12.6503,963.40
12.6647,878.00
12.6791,959.00
12.6935,961.00
12.7079,944.00
12.7223,980.00
12.7368,950.00
12.7512,927.07
12.7656,922.98
12.7800,963.91
12.7944,957.77
12.8088,930.14
12.8232,976.19
12.8376,961.86
12.8520,1002.00
12.8664,954.00
12.8808,934.00
12.8952,1011.00
12.9096,922.00
12.9240,927.00
12.9385,975.00
12.9529,948.56
12.9673,901.49
12.9817,888.19
12.9961,950.60
13.0105,958.79
13.0249,955.21
13.0393,1000.74
13.0537,968.00
13.0681,920.00
13.0825,933.00
13.0969,968.00
13.1113,938.00
13.1258,924.50
13.1402,1001.00
13.1546,987.44
13.1690,990.00
13.1834,953.67
13.1978,981.30
13.2122,996.65
13.2266,896.37
13.2410,904.56
13.2554,945.00
13.2698,967.00
13.2842,902.00
13.2986,977.00
13.3130,924.00
13.3275,952.00
13.3419,931.00
13.3563,980.28
13.3707,885.12
13.3851,913.77
13.3995,878.98
13.4139,986.42
13.4283,887.16
13.4427,903.53
13.4571,938.50
13.4715,949.00
13.4859,924.00
13.5003,964.00
13.5148,886.00
13.5292,960.00
13.5436,946.00
13.5580,922.47
13.5724,919.91
13.5868,932.70
13.6012,945.49
13.6156,926.05
13.6300,925.02
13.6444,971.58
13.6588,919.00
13.6732,967.00
13.6876,926.00
13.7020,961.00
13.7165,962.00
13.7309,944.00
13.7453,939.00
13.7597,957.77
13.7741,964.93
13.7885,927.07
13.8029,920.93
13.8173,911.72
